"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"2019","4","A","골목상권","1000001","계동길","13700","10172","3528","7","1421","4634","4218","2628","792","6","720","3381","3297","2165","603","1","701","1253","921","463","189"
"2019","4","A","골목상권","1001010","풍성로37가길","2748","1678","1070","6","410","594","684","640","414","2","264","372","393","389","258","4","146","222","291","251","156"
"2019","4","A","골목상권","1001009","천호옛길","6064","3635","2429","9","803","1428","1488","1645","691","5","447","723","830","1088","542","4","356","705","658","557","149"
"2019","4","A","골목상권","1001008","천호옛14길","2503","1310","1193","8","459","534","594","535","373","2","250","263","287","285","223","6","209","271","307","250","150"
"2019","4","A","골목상권","1001007","천호대로219길","966","662","304","0","107","187","231","268","173","0","53","131","167","183","128","0","54","56","64","85","45"
"2019","4","A","골목상권","1001006","천호대로197길","2122","1190","932","2","260","374","420","580","486","2","147","232","225","279","305","0","113","142","195","301","181"
"2019","4","A","골목상권","1001005","천호대로187길","4336","2078","2258","11","515","786","1018","1163","843","6","222","426","507","425","492","5","293","360","511","738","351"
"2019","4","A","골목상권","1001004","천호대로170길","5760","3089","2671","12","898","999","1127","1075","1649","7","329","496","608","593","1056","5","569","503","519","482","593"
"2019","4","A","골목상권","1001003","천호대로162길","3635","2072","1563","6","405","532","675","667","1350","2","221","281","341","374","853","4","184","251","334","293","497"
"2019","4","A","골목상권","1001002","천중로51길","3276","1938","1338","7","333","588","749","854","745","4","166","368","422","485","493","3","167","220","327","369","252"
"2019","4","A","골목상권","1001001","천중로39길","3291","2040","1251","8","289","596","840","816","742","3","142","371","504","519","501","5","147","225","336","297","241"
"2019","4","A","골목상권","1001000","진황도로47길","4044","1908","2136","15","481","761","994","1016","777","9","197","423","509","354","416","6","284","338","485","662","361"
"2019","4","A","골목상권","1000999","진황도로27길","5557","2819","2738","10","881","1020","1035","997","1614","7","261","431","524","506","1090","3","620","589","511","491","524"
"2019","4","A","골목상권","1000998","올림픽로98길","2188","1168","1020","1","236","349","409","380","813","1","88","201","227","228","423","0","148","148","182","152","390"
"2019","4","A","골목상권","1000997","올림픽로80길","1647","861","786","4","168","286","360","392","437","4","68","126","160","184","319","0","100","160","200","208","118"
"2019","4","A","골목상권","1000996","올림픽로78길","1673","923","750","7","229","286","342","370","439","5","101","146","176","191","304","2","128","140","166","179","135"
"2019","4","A","골목상권","1000995","올림픽로77길","1824","1010","814","9","219","358","425","396","417","5","104","187","227","203","284","4","115","171","198","193","133"
"2019","4","A","골목상권","1000994","올림픽로71길","2045","1077","968","9","263","450","478","425","420","5","106","212","261","215","278","4","157","238","217","210","142"
"2019","4","A","골목상권","1000993","올림픽로48길","21487","15997","5490","42","2391","5926","5023","4923","3182","17","1466","4348","3830","3837","2499","25","925","1578","1193","1086","683"
"2019","4","A","골목상권","1000992","양재대로96길","3572","1944","1628","10","449","761","838","872","642","9","218","411","470","420","416","1","231","350","368","452","226"
"2019","4","A","골목상권","1000991","양재대로95길","3064","1793","1271","11","337","586","735","730","665","9","196","372","436","375","405","2","141","214","299","355","260"
"2019","4","A","골목상권","1000990","양재대로91길","3486","2089","1397","12","425","714","818","829","688","10","215","433","480","480","471","2","210","281","338","349","217"
"2019","4","A","골목상권","1000989","양재대로133길","3249","1749","1500","13","410","679","812","756","579","2","171","377","420","405","374","11","239","302","392","351","205"
"2019","4","A","골목상권","1000988","양재대로124길","3733","2287","1446","9","349","663","834","966","912","5","198","420","489","584","591","4","151","243","345","382","321"
"2019","4","A","골목상권","1000987","양재대로116길","3352","1569","1783","11","364","503","762","986","726","7","191","305","370","330","366","4","173","198","392","656","360"
"2019","4","A","골목상권","1000986","양재대로101길","6685","3123","3562","24","1129","1353","1558","1517","1104","16","409","696","804","594","604","8","720","657","754","923","500"
"2019","4","A","골목상권","1000985","암사길","3278","1991","1287","6","444","762","786","823","457","1","218","474","449","539","310","5","226","288","337","284","147"
"2019","4","A","골목상권","1000984","성안로3길","15719","10725","4994","40","1806","3158","3398","4069","3248","17","1034","1960","2222","2972","2520","23","772","1198","1176","1097","728"
"2019","4","A","골목상권","1000983","성내로5길","16714","12021","4693","34","1884","5324","4452","3456","1564","14","1096","3858","3287","2564","1202","20","788","1466","1165","892","362"
"2019","4","A","골목상권","1000982","상일로5길","919","604","315","0","106","183","229","254","147","0","47","119","155","173","110","0","59","64","74","81","37"
"2019","4","A","골목상권","1000981","상암로5길","4232","1886","2346","5","425","706","904","1038","1154","4","181","380","436","379","506","1","244","326","468","659","648"
"2019","4","A","골목상권","1000980","상암로51길","2115","953","1162","2","209","386","517","550","451","0","64","187","233","234","235","2","145","199","284","316","216"
"2019","4","A","골목상권","1000979","상암로4길","2356","1216","1140","3","226","414","513","435","765","2","78","218","271","230","417","1","148","196","242","205","348"
"2019","4","A","골목상권","1000978","상암로14길","2439","1204","1235","1","252","422","520","471","773","1","82","217","260","224","420","0","170","205","260","247","353"
"2019","4","A","골목상권","1000977","명일로13길","2370","1260","1110","4","305","501","494","543","523","2","127","257","264","260","350","2","178","244","230","283","173"
"2019","4","A","골목상권","1000976","동남로85길","1560","790","770","0","154","294","388","398","326","0","61","149","173","196","211","0","93","145","215","202","115"
"2019","4","A","골목상권","1000975","동남로82길","736","264","472","0","84","156","183","205","108","0","16","53","68","75","52","0","68","103","115","130","56"
"2019","4","A","골목상권","1000974","동남로65길","862","441","421","1","73","196","209","284","99","1","32","75","97","157","79","0","41","121","112","127","20"
"2019","4","A","골목상권","1000973","구천면로42길","2512","1353","1159","6","222","495","639","643","507","1","73","225","334","368","352","5","149","270","305","275","155"
"2019","4","A","골목상권","1000972","구천면로41길","2634","1431","1203","6","283","554","649","636","506","2","100","261","348","366","354","4","183","293","301","270","152"
"2019","4","A","골목상권","1000971","구천면로36길","1476","794","682","2","133","234","306","342","459","2","46","101","142","159","344","0","87","133","164","183","115"
"2019","4","A","골목상권","1000970","고덕로61길","1417","657","760","0","141","288","399","394","195","0","55","130","168","181","123","0","86","158","231","213","72"
